Contact,Day,Default,Education,Housing,Job,Loan,Marital,Month,Poutcome,Y,Age,Balance,Campaign,Duration,Pdays,Previous
cellular,19,no,primary,no,unemployed,no,married,oct,unknown,no,30,1787,1,79,-1,0
cellular,11,no,secondary,yes,services,yes,married,may,failure,no,33,4789,1,220,339,4
cellular,16,no,tertiary,yes,management,no,single,apr,failure,no,35,1350,1,185,330,1
unknown,3,no,tertiary,yes,management,yes,married,jun,unknown,no,30,1476,4,199,-1,0
unknown,5,no,secondary,yes,blue-collar,no,married,may,unknown,no,59,0,1,226,-1,0
cellular,23,no,tertiary,no,management,no,single,feb,failure,no,35,747,2,141,176,3
cellular,14,no,tertiary,yes,self-employed,no,married,may,other,no,36,307,1,341,330,2
cellular,6,no,secondary,yes,technician,no,married,may,unknown,no,39,147,2,151,-1,0
unknown,14,no,tertiary,yes,entrepreneur,no,married,may,unknown,no,41,221,2,57,-1,0
cellular,17,no,primary,yes,services,yes,married,apr,failure,no,43,-88,1,313,147,2
unknown,20,no,secondary,yes,services,no,married,may,unknown,no,39,9374,1,273,-1,0
cellular,17,no,secondary,yes,admin.,no,married,apr,unknown,no,43,264,2,113,-1,0
cellular,13,no,tertiary,no,technician,no,married,aug,unknown,no,36,1109,2,328,-1,0
cellular,30,no,secondary,no,student,no,single,apr,unknown,yes,20,502,1,261,-1,0
cellular,29,no,secondary,yes,blue-collar,yes,married,jan,failure,no,31,360,1,89,241,1
cellular,29,no,tertiary,no,management,yes,married,aug,unknown,no,40,194,2,189,-1,0
cellular,27,no,secondary,no,technician,no,married,aug,unknown,no,56,4073,5,239,-1,0
cellular,20,no,tertiary,yes,admin.,no,single,apr,failure,no,37,2317,1,114,152,2
unknown,23,no,primary,yes,blue-collar,no,single,may,unknown,no,25,-221,1,250,-1,0
cellular,7,no,secondary,no,services,no,married,jul,other,no,31,132,1,148,152,1
cellular,18,no,unknown,yes,management,no,divorced,nov,unknown,no,38,0,2,96,-1,0
cellular,19,no,tertiary,no,management,no,divorced,nov,unknown,no,42,16,3,140,-1,0
unknown,12,no,secondary,no,services,no,single,jun,unknown,no,44,106,2,109,-1,0
cellular,7,no,secondary,no,entrepreneur,no,married,jul,unknown,no,44,93,2,125,-1,0
cellular,30,no,tertiary,no,housemaid,no,married,jan,unknown,no,26,543,3,169,-1,0
cellular,20,no,tertiary,no,management,no,married,nov,unknown,no,41,5883,2,182,-1,0
unknown,5,no,primary,yes,blue-collar,no,married,may,unknown,no,55,627,1,247,-1,0
